,POINT_X,POINT_Y,TWI,Slope,Distance,LST,NDVI,SMI,Class
0,631940.2944225175,1378194.0798345264,11.0221043,5.6568542,146.0328217,26.64978581398168,0.153273,0.4724922,1
1,629427.4798438698,1373871.5405586176,12.8334579,5.8309517,146.0328217,25.923171758374394,0.1328388,0.5188146,1
2,633757.374196847,1375490.2785566095,7.0782189,4.472136,206.5215912,23.51222045823954,0.280654,0.6725155,1
3,634895.1614187267,1375292.4541828127,11.2252436,5.0990195,326.5393066,26.259767833091075,0.1738073,0.4973563,1
4,631003.4009033293,1370557.4507600572,7.7651548,5.6568542,146.0328217,26.374391866528185,0.1236264,0.4900489,1
5,634550.8208730145,1367973.287355397,5.6330328,5.8309517,292.0656433,25.524300244838457,0.2230216,0.5442432,1
6,632152.6733003817,1378985.1715868895,6.6608953,8.0,146.0328217,24.932398579629137,0.1864514,0.5819775,1
7,625539.5776638063,1376589.958047321,6.7843256,4.472136,206.5215912,26.195084412382077,0.2246444,0.5014799,1
8,631261.2835159795,1372851.5099463817,6.7843256,4.2426405,292.0656433,26.887312201638224,0.1665198,0.4573496,1
9,621449.919664193,1371413.002518026,5.6857133,4.2426405,730.1641235,26.115603672318,0.1704113,0.5065469,1
10,625531.8913643565,1376608.991372466,6.32618,4.472136,206.5215912,26.192653641905792,0.3659359,0.5016349,1
11,628765.6652757861,1379522.8113858905,11.9204721,8.0,146.0328217,26.48990150361305,0.3334574,0.482685,1
12,632921.6238647029,1377941.1597580556,10.5320959,4.2426405,146.0328217,27.373954132861115,0.1854922,0.4263256,1
13,636096.8432912817,1366522.1868851576,8.3937635,3.1622777,1503.4998779,26.39236349688372,0.1627565,0.4889032,0
14,629618.0647631828,1381441.1288799923,5.6330328,4.472136,438.0984497,26.35412089522049,0.1093834,0.4913412,1
15,625666.7329122322,1375827.3528517894,5.6330328,4.2426405,146.0328217,26.10298190696659,0.1586501,0.5073516,1
16,621910.4714616379,1370147.3429309614,5.6330328,4.472136,1758.4680176,26.17500949326501,0.1946933,0.5027597,0
17,631365.5213673087,1378038.7068641295,12.5689783,1.4142135,146.0328217,25.63202414423341,0.2568909,0.5373757,1
18,624447.275092978,1382456.0129091758,17.5147438,7.6157732,888.282959,29.318539200720352,0.108086,0.3023562,0
19,623046.9295219667,1370637.0381302012,8.17062,8.485281,2377.2421875,27.01050430229509,0.0826978,0.449496,0
20,633365.9735227432,1379227.9863764644,4.7541041,10.2956305,146.0328217,26.83977832919362,0.1378134,0.46038,1
21,632405.8952530213,1367107.6126162224,5.3677187,5.8309517,1632.6965332,24.924925367440206,0.1423142,0.582454,0
22,629821.0535336956,1381126.692272406,5.6330328,4.472136,413.0431824,24.94227897055453,0.1557462,0.5813476,1
23,632012.0590345338,1371577.448221648,13.262125,1.4142135,888.282959,26.403844853280816,0.2562412,0.4881712,0
24,635022.3153385771,1365695.863855794,8.7976875,5.0990195,730.1641235,26.6361389070172,0.0774483,0.4733622,1
25,621278.3028916549,1381970.8992212955,6.5493236,6.0,1022.2297363,28.830859077826744,0.099629,0.3334463,0
26,635087.731052449,1368358.0989487895,4.7541041,10.7703295,292.0656433,26.671593245880047,0.1351128,0.4711019,1
27,630987.5875144228,1371813.2084883824,12.9598446,6.0,292.0656433,26.450753528924903,0.2844454,0.4851807,1
28,621372.0106304586,1382525.044240594,5.1748877,5.6568542,438.0984497,24.912279494437087,0.0674006,0.5832602,1
29,633457.7921876619,1371381.9672090989,11.2252436,4.2426405,461.7963257,25.500230549073592,0.1044621,0.5457776,1
30,633539.7039952548,1375315.9896706585,13.7239437,4.2426405,292.0656433,24.43844990062269,0.1606218,0.6134673,1
31,624012.1561291236,1372210.840797862,11.2252436,4.0,653.0786133,26.74321299994796,0.1624793,0.4665361,1
32,620944.6200842941,1383239.7381352559,7.130899,4.0,326.5393066,28.83725607110216,0.2327389,0.3330385,1
33,622342.5862855297,1370022.3653397914,6.4377518,4.2426405,2075.5163574,26.752929971825157,0.0942646,0.4659166,0
34,631389.5179039016,1371040.3605680948,13.9978323,2.8284271,786.4108276,25.354225171132494,0.1725975,0.5550857,0
35,627754.4993633982,1376535.0749457628,5.3254399,12.083046,146.0328217,26.511827160829228,0.0942372,0.4812872,1
36,628458.7812361736,1380443.6817361359,18.4578552,3.1622777,1063.1350098,22.690053941152367,0.1164061,0.7249295,1
37,629626.4658764508,1381394.8222078905,6.7843256,1.4142135,438.0984497,25.700309746330728,0.226886,0.5330223,1
38,631071.4945103694,1371779.895419456,13.7101498,4.472136,438.0984497,26.133670359670248,0.1912557,0.5053951,1
39,629259.3667031238,1379256.9146894086,6.1500697,8.0,146.0328217,26.53538676438535,0.3822411,0.4797853,1
40,623733.9196221139,1375276.28513184,5.7142925,8.2462111,146.0328217,26.67849331913112,0.0682968,0.4706621,1
41,633543.8425498987,1368023.8955429029,10.8197784,5.6568542,326.5393066,26.785684568003543,0.2692581,0.4638285,1
42,628575.8225309346,1381013.6960476525,11.7360687,8.6023254,1524.6274414,26.60380872700324,0.1212629,0.4754233,0
43,632768.8511931719,1372348.391790565,12.9299917,8.6023254,146.0328217,28.928200953144252,0.1661992,0.3272407,1
44,621893.3460881496,1383098.0193570685,11.5129251,3.1622777,146.0328217,24.531139362821307,0.1250544,0.6075583,1
45,629971.4317914881,1373894.8983765133,7.2951512,4.2426405,206.5215912,25.587056559361717,0.2200071,0.5402424,1
46,634625.0562558947,1375848.739780821,5.6330328,4.472136,206.5215912,26.141887355928304,0.2165927,0.5048713,1
47,635302.2945841048,1381116.123229066,9.4334841,3.1622777,438.0984497,27.97997746291605,0.1245163,0.387691,1
48,632326.2937009968,1372598.7545886766,12.9598446,2.8284271,438.0984497,27.182809546849228,0.1675813,0.4385113,1
49,632866.2478708616,1379117.5882484019,6.6004629,6.3245554,146.0328217,26.510234872395927,0.0650908,0.4813887,1
50,635041.9371655751,1368407.1578244064,7.765614,5.6568542,292.0656433,26.441340682235364,0.1606942,0.4857808,1
51,618179.1941659935,1382085.7145731952,7.130899,4.0,438.0984497,26.725180599682915,0.1240801,0.4676857,1
52,631949.6820809674,1373220.062052762,18.0933914,4.2426405,146.0328217,27.800189285615204,0.2054106,0.3991527,1
53,621268.707743682,1381932.4467350747,7.690515,8.0,1022.2297363,25.357847030944296,0.0863327,0.5548548,0
